Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100n,C476766
C3,0805,1,10u,C5137471
"D1, D3, D5, D7",0805,4,BLAU,C98222
"D2, D4, D6, D8",0805,4,ROT,C94868
D9,D_SMA,1,~,C2844169
F1,FUSER_2016L050MR,1,1.1A,C99564
J1,GCT_USB4110-GF-A_REVB,1,POWER,C5143397
J2,PinSocket_1x10_P2.54mm_Horizontal,1,OBEN,C22438151
J3,PinHeader_1x10_P2.54mm_Horizontal,1,UNTEN,C492418
J4,PinHeader_1x03_P2.54mm_Horizontal,1,LINKS,C492411
J5,PinSocket_1x03_P2.54mm_Horizontal,1,RECHTS,C22438144
"Q1, Q10, Q3, Q5, Q7, Q9",SOT-23,6,BSS84, C112238
"Q2, Q4, Q6, Q8",SOT-23,4,BSS138,C78284
"R1, R2, R3, R4, R5, R6, R7, R8",0805,8,680,C17798
"R10, R17",0805,2,220,C2933537
"R11, R12, R13, R9",0805,4,22k,C139902
"R14, R15",0805,2,5.1k,C2930296
