Designator,Mid X,Mid Y,Rotation,Layer
C1,110.5156,-113.8532,90.0,top
C2,113.208,-129.1744,90.0,top
C3,139.5884,-138.4556,180.0,top
D1,138.7835,-111.43,0.0,top
D2,146.1795,-111.43,0.0,top
D3,138.7835,-104.318,0.0,top
D4,146.1795,-104.318,0.0,top
D5,138.7835,-147.6758,0.0,top
D6,146.1795,-147.6758,180.0,top
D7,103.5421,-129.845,0.0,top
D8,107.6985,-129.845,0.0,top
D9,139.6,-125.55,90.0,top
F1,138.735,-133.9228,270.0,top
J1,145.1208,-123.495,90.0,top
J2,122.606,-107.112,270.0,bottom
J3,122.606,-142.672,270.0,bottom
J4,107.62,-135.54,0.0,bottom
J5,143.18,-135.54,0.0,bottom
Q1,103.1265,-115.2654,180.0,top
Q10,103.1011,-108.001,180.0,top
Q2,103.1482,-123.7391,180.0,top
Q3,103.1205,-111.7832,180.0,top
Q4,103.1436,-120.1983,180.0,top
Q5,138.9613,-142.1996,180.0,top
Q6,145.0319,-142.23,180.0,top
Q7,102.6416,-146.5051,270.0,top
Q8,106.9482,-146.4589,270.0,top
Q9,103.1219,-104.506,180.0,top
R1,106.096,-115.2673,270.0,top
R10,106.096,-104.5193,90.0,top
R11,142.4707,-104.318,180.0,top
R12,142.4707,-111.43,180.0,top
R13,113.2588,-135.6089,90.0,top
R14,138.3,-118.5125,90.0,top
R15,140.4,-118.5125,90.0,top
R17,106.096,-108.0029,90.0,top
R2,106.1177,-123.7372,90.0,top
R3,106.096,-111.8091,270.0,top
R4,106.1177,-120.185,90.0,top
R5,142.037,-142.2129,270.0,top
R6,147.9783,-142.2167,270.0,top
R7,102.6538,-143.5079,0.0,top
R8,106.9615,-143.434,0.0,top
R9,102.8975,-101.778,0.0,top
